age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
45.0,Private,317360,Bachelors,13.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,,50.0,United-States,<=50K
55.0,Private,188917,HS-grad,9.0,Divorced,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
46.0,Private,231515,Assoc-acdm,12.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,47.0,Cuba,<=50K
,Private,58426,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
47.0,Private,111797,Some-college,10.0,Never-married,Other-service,Not-in-family,Black,Female,0.0,0.0,35.0,Outlying-US(Guam-USVI-etc),<=50K
43.0,Private,132393,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,Poland,<=50K
39.0,Local-gov,111499,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,,20.0,United-States,>50K
28.0,Private,137898,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K
24.0,Private,177287,Some-college,,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,30.0,United-States,<=50K
62.0,Federal-gov,177295,HS-grad,9.0,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
,State-gov,198686,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
42.0,State-gov,212027,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Private,345277,Bachelors,13.0,Never-married,Tech-support,Not-in-family,White,Female,0.0,0.0,45.0,United-States,>50K
,Private,239397,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,36.0,Mexico,<=50K
,Self-emp-not-inc,24046,HS-grad,9.0,Widowed,Other-service,Other-relative,White,Female,0.0,0.0,40.0,United-States,<=50K
50.0,Private,171852,Bachelors,13.0,Separated,Prof-specialty,Own-child,Other,Female,0.0,0.0,40.0,United-States,<=50K
27.0,Local-gov,255237,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,,0.0,40.0,United-States,<=50K
43.0,Private,200835,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,,United-States,<=50K
28.0,Private,175343,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,,40.0,United-States,<=50K
24.0,State-gov,154432,Bachelors,,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
19.0,State-gov,378418,HS-grad,9.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
46.0,Private,389843,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,Germany,>50K
29.0,Private,162002,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
46.0,Private,133616,Some-college,,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
31.0,Private,279680,Some-college,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
65.0,Private,94552,Some-college,,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
55.0,Self-emp-not-inc,26683,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
35.0,Federal-gov,245372,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,,United-States,<=50K
18.0,Private,180039,12th,8.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
84.0,Self-emp-not-inc,155057,Bachelors,13.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,20.0,United-States,<=50K
42.0,Local-gov,191149,Masters,14.0,Never-married,Prof-specialty,Unmarried,White,Female,,0.0,40.0,United-States,<=50K
,Private,298070,Assoc-voc,11.0,Separated,Other-service,Unmarried,White,Female,6723.0,0.0,25.0,United-States,<=50K
30.0,Private,112650,HS-grad,9.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Private,211497,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Private,304791,Some-college,,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
37.0,Private,233571,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,0.0,37.0,United-States,>50K
26.0,State-gov,287420,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,60.0,United-States,<=50K
50.0,Private,92968,Bachelors,13.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,32.0,United-States,<=50K
61.0,Private,248448,7th-8th,,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
25.0,Private,333677,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
21.0,Private,77759,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,,United-States,<=50K
52.0,Private,256916,HS-grad,,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
19.0,Private,203319,11th,7.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
48.0,Private,268234,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,,0.0,50.0,United-States,<=50K
45.0,Self-emp-not-inc,107231,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,,45.0,France,<=50K
27.0,Private,220754,Doctorate,16.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
22.0,Private,239612,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
20.0,Private,122346,HS-grad,,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
34.0,Private,272411,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
29.0,Private,53642,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,,40.0,United-States,<=50K
51.0,Federal-gov,174102,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
,Federal-gov,176317,10th,6.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,37.0,United-States,<=50K
25.0,Private,356017,11th,7.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,99.0,United-States,<=50K
61.0,Private,149981,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,2414.0,0.0,5.0,United-States,<=50K
45.0,Private,186272,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,7298.0,0.0,,United-States,>50K
,Private,40060,Some-college,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
27.0,Private,164924,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,,United-States,<=50K
,Private,316868,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,30.0,Mexico,<=50K
53.0,Private,196763,Assoc-acdm,12.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,60.0,United-States,<=50K
27.0,Private,185670,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
35.0,Private,258339,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,>50K
24.0,Private,192201,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,Black,Female,0.0,,20.0,United-States,<=50K
41.0,Private,118212,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,3103.0,0.0,40.0,United-States,>50K
,Private,331831,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
60.0,Private,123218,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
21.0,Private,275726,HS-grad,9.0,Never-married,Craft-repair,Own-child,Black,Male,0.0,,40.0,United-States,<=50K
59.0,Private,114678,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,Black,Male,0.0,0.0,60.0,United-States,<=50K
30.0,Private,182833,Some-college,10.0,Never-married,Exec-managerial,Own-child,Black,Female,,0.0,40.0,United-States,<=50K
25.0,Private,44363,HS-grad,,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
46.0,Local-gov,180010,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,,40.0,United-States,>50K
,Private,247119,7th-8th,4.0,Widowed,Machine-op-inspct,Unmarried,Other,Female,0.0,0.0,40.0,Dominican-Republic,<=50K
22.0,Private,147397,Bachelors,13.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K
56.0,Self-emp-not-inc,119069,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,,0.0,40.0,United-States,>50K
56.0,Local-gov,183169,Masters,14.0,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
33.0,Private,103596,Assoc-voc,,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,162988,10th,6.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,25.0,United-States,<=50K
56.0,Private,184553,10th,,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,56.0,United-States,<=50K
27.0,Federal-gov,214385,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,Black,Female,,0.0,40.0,United-States,<=50K
32.0,Private,54782,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
23.0,Private,217961,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,,0.0,40.0,United-States,<=50K
47.0,Private,71221,HS-grad,9.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,,United-States,<=50K
58.0,Private,169611,HS-grad,,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
52.0,State-gov,135388,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,5013.0,0.0,40.0,United-States,<=50K
42.0,Private,334522,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,49923,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
55.0,Self-emp-not-inc,100569,HS-grad,9.0,Separated,Farming-fishing,Unmarried,White,Female,0.0,0.0,55.0,United-States,<=50K
30.0,State-gov,231043,Assoc-voc,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,State-gov,115005,HS-grad,9.0,Divorced,Tech-support,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
32.0,Private,237903,Bachelors,13.0,Never-married,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
30.0,Self-emp-inc,84119,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,,United-States,<=50K
21.0,Private,35424,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,,25.0,United-States,<=50K
50.0,Self-emp-not-inc,213654,HS-grad,9.0,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
40.0,Private,137142,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
32.0,Private,157747,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
34.0,Private,82938,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
65.0,Private,398001,HS-grad,,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
42.0,Private,248094,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,1740.0,43.0,United-States,<=50K
41.0,Local-gov,103759,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,3942.0,0.0,40.0,United-States,<=50K
48.0,Private,108557,Bachelors,,Married-civ-spouse,Tech-support,Wife,White,Female,99999.0,0.0,40.0,United-States,>50K
33.0,Private,144064,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
31.0,Local-gov,357954,Assoc-acdm,12.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K
40.0,Private,93955,Some-college,10.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
,Private,174413,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
31.0,Self-emp-not-inc,117346,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
28.0,Self-emp-not-inc,218555,Some-college,10.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,1762.0,40.0,United-States,<=50K
39.0,Federal-gov,206190,HS-grad,9.0,Never-married,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States,<=50K
33.0,Private,66278,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
39.0,Local-gov,153976,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
33.0,Private,124827,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,,0.0,40.0,United-States,<=50K
52.0,Private,89534,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,,0.0,40.0,United-States,>50K
58.0,Local-gov,283635,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
34.0,Private,162814,HS-grad,9.0,Divorced,Protective-serv,Not-in-family,Black,Male,0.0,0.0,45.0,United-States,<=50K
53.0,Self-emp-not-inc,240138,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,,60.0,United-States,<=50K
25.0,Private,33610,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,,45.0,United-States,<=50K
26.0,Private,200639,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Private,113364,HS-grad,9.0,Divorced,Adm-clerical,Own-child,White,Male,,0.0,40.0,United-States,<=50K
50.0,Private,151580,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,,0.0,45.0,United-States,<=50K
40.0,Federal-gov,391744,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
